feature,importance,source_feature
numeric__billed_amount,0.2794733427566319,billed_amount
numeric__length_of_stay_hours_filled,0.07877917213995135,length_of_stay_hours_filled
numeric__billing_lag_days,0.07701884083583693,billing_lag_days
numeric__days_since_registration,0.07685705635568693,days_since_registration
numeric__doctor_id,0.07119711206334874,doctor_id
numeric__age,0.07041503600233275,age
numeric__billing_month,0.03851054313968473,billing_month
numeric__visit_frequency,0.03757869930451146,visit_frequency
numeric__visit_month,0.0356611586106546,visit_month
numeric__visit_day_of_week,0.033519949790117874,visit_day_of_week
numeric__visit_quarter,0.015338813965323092,visit_quarter
numeric__chronic_flag,0.012417084613537322,chronic_flag
categorical__risk_score_Low,0.010263228532009188,risk_score_Low
categorical__gender_F,0.009471261892565903,gender_F
categorical__gender_M,0.009414010616520724,gender_M
categorical__visit_type_OPD,0.009049009915001202,visit_type_OPD
categorical__visit_type_ICU,0.008853065177301776,visit_type_ICU
categorical__visit_type_ER,0.008705676857424932,visit_type_ER
categorical__risk_score_Medium,0.008194925845308034,risk_score_Medium
categorical__insurance_provider_CareOne,0.008039532120501368,insurance_provider_CareOne
