feature,importance,source_feature
numeric__length_of_stay_hours_filled,0.1659978849525499,length_of_stay_hours_filled
numeric__days_since_registration,0.12291915612122345,days_since_registration
numeric__doctor_id,0.11550630690357329,doctor_id
numeric__age,0.10982408239064657,age
numeric__visit_frequency,0.06417742711045336,visit_frequency
numeric__visit_month,0.060147359042772866,visit_month
numeric__visit_day_of_week,0.05612671702592884,visit_day_of_week
numeric__visit_quarter,0.029522210361442747,visit_quarter
numeric__chronic_flag,0.0210691591022452,chronic_flag
categorical__gender_M,0.016372958821198446,gender_M
categorical__visit_type_ICU,0.016228509697737384,visit_type_ICU
categorical__gender_F,0.016179097203192775,gender_F
categorical__visit_type_ER,0.016132073045848436,visit_type_ER
categorical__visit_type_OPD,0.015797388160890123,visit_type_OPD
categorical__insurance_provider_MediCareX,0.014053319924876932,insurance_provider_MediCareX
categorical__insurance_provider_SecureLife,0.0135253977830085,insurance_provider_SecureLife
categorical__insurance_provider_CareOne,0.01351636543147412,insurance_provider_CareOne
categorical__insurance_provider_HealthPlus,0.013394356194927761,insurance_provider_HealthPlus
categorical__department_Orthopedics,0.010819521471224655,department_Orthopedics
categorical__department_Neurology,0.01017702334560307,department_Neurology
