segment,value,rows,accuracy,macro_f1,critical_class,critical_class_support,critical_class_recall
city,Mumbai,816,0.4044,0.3229,High,167,0.0599
city,Chennai,824,0.426,0.3418,High,167,0.0599
city,Bangalore,829,0.4499,0.3445,High,151,0.0728
city,Hyderabad,893,0.3785,0.3315,High,189,0.127
city,Delhi,849,0.404,0.362,High,184,0.1902
city,Pune,789,0.3942,0.3596,High,165,0.2364
gender,F,2530,0.4099,0.3456,High,528,0.1136
gender,M,2470,0.4085,0.3513,High,495,0.1394
insurance_provider,CareOne,1235,0.4405,0.3536,High,248,0.0887
insurance_provider,SecureLife,1200,0.4033,0.3395,High,236,0.1186
insurance_provider,MediCareX,1368,0.4035,0.3506,High,290,0.1345
insurance_provider,HealthPlus,1197,0.3893,0.3448,High,249,0.1606
